flight_id,arrival_time,runway,landing_time,delay
FL2006,671,1,898.0,221.5
FL1138,671,2,902.0,225.0
FL2087,672,1,903.5,226.0
FL1931,674,2,904.5,228.0
FL1439,674,1,908.5,229.5
FL1906,675,2,907.0,229.5
FL1078,678,2,910.0,229.0
FL1273,678,1,912.0,230.5
FL1820,678,2,915.5,232.0
FL1340,680,1,918.5,232.0
FL1672,684,2,918.5,231.5
FL1086,684,1,921.0,234.5
FL1302,686,2,922.0,232.5
FL1680,687,1,927.5,234.0
FL2047,689,2,927.0,233.0
FL1929,691,2,930.0,236.0
FL1057,693,1,930.0,234.5
FL1232,694,1,934.0,236.0
FL2097,699,2,933.0,231.0
FL1947,700,2,935.5,233.0
FL1618,700,1,937.0,234.0
FL1604,701,2,939.0,234.5
FL1961,704,1,940.5,233.0
FL1307,706,2,944.5,233.0
FL1051,707,1,945.5,233.5
FL1084,710,2,949.5,234.5
FL1880,710,1,949.0,235.5
FL1753,711,1,952.5,238.0
FL1243,713,2,953.0,236.5
FL2019,714,1,955.0,238.5
FL1520,715,2,956.0,238.0
FL2067,716,1,960.5,239.0
FL1638,716,2,960.5,240.0
FL1085,717,1,963.0,243.5
FL1514,722,2,965.5,238.5
FL1544,722,1,967.5,241.0
FL1871,725,2,968.0,240.5
FL1100,726,1,973.0,241.5
FL1350,726,2,973.0,242.0
FL1292,728,1,975.5,245.0
FL1599,733,2,979.0,240.0
FL1219,734,1,979.5,241.5
FL1540,735,2,981.5,244.0
FL1183,737,1,986.0,242.5
FL1090,738,2,984.5,243.5
FL1684,743,2,987.0,241.5
FL2129,745,1,992.0,241.0
FL1862,748,2,993.5,239.0
FL2181,748,1,995.5,244.0
FL2040,753,2,996.0,240.5
FL2016,753,1,1000.5,242.5
FL2155,754,2,1001.5,242.0
FL1068,754,1,1003.0,246.5
FL1080,755,2,1005.0,246.5
FL1982,756,1,1005.5,247.0
FL1625,757,2,1011.5,248.0
FL2098,760,1,1009.5,245.5
FL1593,761,1,1012.0,248.5
FL1316,767,2,1014.5,244.5
FL1887,770,1,1016.0,242.0
FL1673,771,2,1017.0,243.5
FL2100,771,1,1018.5,245.0
FL2017,771,2,1022.0,246.0
FL2003,772,1,1021.0,246.5
FL1845,774,1,1024.0,247.0
FL2021,775,2,1025.0,247.0
FL1114,778,1,1030.0,246.0
FL1006,778,2,1027.5,247.0
FL1005,779,2,1030.5,248.5
FL1594,780,1,1034.5,250.0
FL2030,781,2,1034.5,249.5
FL1280,781,1,1037.5,253.5
FL1341,781,2,1040.5,253.5
FL1130,782,1,1042.0,255.5
FL2172,784,2,1043.5,256.5
FL2053,785,1,1046.0,257.0
FL1480,786,2,1050.0,257.5
FL1865,790,1,1049.0,256.0
FL1549,790,1,1051.5,259.0
FL2014,794,2,1056.5,256.0
FL1098,795,1,1058.0,256.5
FL1457,796,2,1059.5,260.5
FL1269,802,1,1063.0,256.0
FL1819,804,2,1064.5,255.5
FL1987,804,1,1066.0,259.0
FL1148,805,2,1071.0,259.5
FL1152,808,1,1069.0,258.0
FL1102,809,1,1075.5,260.0
FL1945,812,2,1077.5,259.0
FL1147,816,1,1078.5,259.5
FL1765,818,2,1083.5,259.5
FL1406,820,1,1084.0,258.5
FL1155,821,2,1086.0,262.5
FL2024,822,1,1090.0,262.0
FL2037,823,2,1092.5,263.0
FL1600,823,1,1092.5,267.0
FL1873,824,1,1095.5,268.5
FL1131,826,2,1097.5,266.5
FL1918,826,1,1101.0,269.5
FL1553,827,2,1100.5,270.5
FL1526,828,2,1107.0,272.5
FL1073,828,1,1106.5,273.0
FL1980,831,1,1113.0,275.5
FL1142,834,2,1110.5,273.0
FL1271,835,2,1116.0,275.5
FL1046,837,1,1117.5,276.0
FL1321,838,2,1119.0,278.0
FL1962,838,1,1121.5,279.5
FL2051,840,2,1122.0,279.0
FL2081,840,1,1126.0,281.5
FL1957,842,2,1127.0,280.0
FL2198,844,1,1131.5,282.0
FL1886,845,2,1132.0,282.0
FL1662,845,1,1136.5,286.5
FL2001,847,2,1138.5,285.0
FL1921,847,1,1140.0,289.5
FL1864,850,2,1142.0,288.5
FL1486,851,1,1146.0,289.0
FL2120,853,2,1145.5,289.0
FL1355,855,2,1149.5,290.5
FL1149,855,1,1152.0,291.0
FL1850,856,2,1152.5,293.5
FL1191,857,1,1157.0,295.0
FL1556,860,2,1155.0,292.5
FL1255,860,2,1161.0,295.0
FL1994,862,1,1159.5,295.0
FL1829,863,1,1165.0,296.5
FL1515,865,2,1167.5,296.0
FL1846,866,1,1170.5,299.0
FL1063,866,2,1170.0,301.5
FL1318,867,2,1174.0,303.0
FL1401,867,1,1173.0,303.5
FL1802,870,1,1178.5,303.0
FL1816,871,2,1177.0,303.0
FL2135,872,2,1181.0,305.0
FL1314,873,1,1183.5,305.5
FL1613,877,2,1186.5,304.0
FL1840,878,1,1189.0,305.5
FL1196,879,2,1192.0,307.5
FL2124,881,1,1193.5,308.0
FL1612,881,2,1198.5,311.0
FL1773,882,1,1198.0,311.5
FL1374,883,1,1202.0,315.0
FL1101,884,2,1204.0,314.5
FL1946,886,1,1205.5,316.0
FL1426,888,2,1210.5,316.0
FL1300,892,1,1208.0,313.5
FL1225,892,1,1211.0,316.0
FL2045,893,2,1216.5,317.5
FL1253,894,1,1216.0,317.0
FL1555,895,1,1220.0,321.0
FL1901,895,2,1220.5,321.5
FL1213,900,1,1225.0,320.0
FL1095,901,2,1224.0,319.5
FL1043,902,2,1228.0,322.0
FL1561,903,1,1228.0,322.0
FL1411,908,1,1232.5,320.0
FL2193,913,2,1234.0,315.0
FL1975,916,1,1239.0,316.5
FL1860,918,2,1240.5,316.0
FL1607,920,1,1245.5,319.0
FL1564,920,2,1246.0,320.5
FL1870,921,1,1249.0,324.5
FL1951,923,2,1249.5,323.0
FL1822,923,1,1255.0,326.0
FL1471,924,2,1253.5,325.5
FL1347,925,2,1259.0,328.5
FL1217,927,1,1258.5,328.0
FL1941,928,1,1261.0,330.5
FL1074,929,2,1264.0,330.0
FL1574,930,1,1265.5,331.0
FL1200,933,2,1267.5,331.0
FL1221,933,1,1269.0,332.5
FL1651,933,2,1271.0,334.5
FL1999,934,1,1274.5,335.0
FL1581,939,2,1276.5,332.0
FL1176,940,1,1280.0,334.5
FL1409,940,2,1279.0,336.5
FL1352,942,2,1285.5,337.0
FL1461,945,1,1284.5,335.0
FL1511,947,1,1287.0,337.5
FL1124,951,2,1291.5,334.5
FL1939,953,1,1293.5,334.0
FL1134,954,2,1295.0,337.5
FL1745,955,1,1299.5,338.5
FL1790,956,2,1298.5,339.0
FL1635,960,2,1305.0,338.5
FL1805,965,1,1302.5,334.5
FL1521,966,1,1306.5,336.5
FL2048,966,2,1310.0,339.0
FL1714,968,1,1309.5,338.5
FL1905,970,1,1312.5,339.5
FL1044,972,2,1313.0,338.0
FL1519,973,1,1319.0,339.5
FL1890,973,2,1319.0,340.0
FL1185,973,1,1321.5,346.0
FL1597,975,2,1325.0,344.0
FL1184,975,1,1326.0,346.5
FL1631,976,2,1330.0,349.0
FL1447,979,1,1331.0,347.0
FL2099,979,2,1334.5,351.0
FL1585,981,1,1336.0,350.0
FL1169,982,2,1340.5,352.5
FL1431,982,1,1338.5,354.0
FL1900,987,1,1342.0,351.5
FL1833,988,2,1346.5,352.5
FL1915,988,1,1346.5,354.0
FL1258,991,1,1353.0,355.5
FL1658,992,2,1351.0,354.5
FL1776,992,2,1355.0,359.0
FL1192,997,1,1357.5,356.0
FL2012,1003,2,1361.0,352.0
FL1983,1004,1,1361.5,353.5
FL1449,1006,2,1363.5,355.0
FL1139,1010,1,1364.0,351.5
FL1843,1016,2,1366.5,347.5
FL1405,1019,1,1366.5,345.0
FL1012,1020,1,1373.0,346.5
FL1156,1021,2,1369.0,345.5
FL1972,1026,2,1373.5,343.0
FL1760,1028,1,1379.5,345.0
FL1634,1030,2,1377.0,343.5
FL1505,1032,2,1381.0,345.0
FL2090,1034,1,1383.0,345.5
FL1274,1034,2,1387.5,347.0
FL2028,1035,1,1385.5,348.0
FL1291,1037,1,1391.5,348.5
FL1056,1039,2,1390.5,348.5
FL1153,1041,2,1395.5,349.5
FL1682,1045,1,1397.0,346.5
FL1231,1045,2,1398.0,350.5
FL1770,1045,1,1399.5,352.0
FL2168,1046,2,1403.0,352.0
FL1973,1046,1,1404.5,353.5
FL1733,1048,2,1409.5,355.0
FL1974,1051,1,1411.0,353.5
FL1277,1052,2,1412.5,357.5
FL1856,1053,1,1417.5,358.0
FL1602,1055,2,1418.0,357.5
FL1960,1058,1,1421.0,359.5
FL1993,1063,2,1421.5,355.0
FL1665,1064,1,1423.5,357.0
FL1683,1066,2,1426.5,355.5
FL1118,1067,1,1429.5,356.5
FL1598,1067,2,1432.0,359.5
FL1904,1067,1,1433.0,362.5
FL1785,1070,2,1434.5,362.0
FL2005,1070,1,1438.0,363.0
FL1700,1071,2,1438.0,363.5
FL1560,1073,1,1444.0,365.0
FL1727,1075,2,1443.0,363.0
FL1096,1075,2,1447.5,368.0
FL1883,1076,1,1448.5,368.0
FL1861,1080,2,1450.0,367.5
FL1916,1081,1,1455.0,367.5
FL1932,1083,2,1455.5,367.0
FL2151,1084,1,1460.5,371.0
FL1011,1088,2,1458.0,367.5
FL2102,1088,2,1462.5,370.0
FL2185,1091,1,1465.5,369.5
FL1718,1092,2,1465.5,370.5
FL1935,1092,1,1472.0,373.5
FL1329,1095,2,1468.5,370.5
FL1342,1096,2,1474.5,372.5
FL1398,1096,1,1474.5,376.0
FL1664,1097,1,1481.0,377.5
FL1087,1097,2,1477.5,377.5
FL1262,1097,2,1481.5,380.5
FL1324,1098,1,1485.0,383.0
FL1563,1098,2,1487.0,383.5
FL1730,1100,1,1491.0,385.0
FL2187,1103,2,1491.0,384.0
FL1666,1104,1,1495.5,387.0
FL1465,1105,2,1494.0,386.0
FL1849,1106,2,1498.0,388.0
FL1282,1106,1,1499.5,389.5
FL1382,1107,2,1501.5,391.0
FL1768,1108,1,1502.0,391.5
FL1384,1108,2,1506.0,393.5
FL2083,1108,1,1504.5,394.0
FL1797,1109,1,1507.0,395.5
FL1371,1110,2,1511.0,396.0
FL1136,1110,1,1511.0,397.0
FL1146,1111,1,1514.5,400.0
FL2164,1114,2,1517.0,397.0
FL1633,1117,1,1517.5,397.5
FL1482,1119,2,1522.0,398.0
FL1493,1122,1,1522.0,395.5
FL1573,1123,1,1525.0,399.0
FL1066,1124,2,1526.0,398.0
FL1744,1125,1,1530.0,400.0
FL1197,1126,2,1531.5,400.0
FL1535,1126,1,1532.5,404.0
FL1047,1128,2,1535.5,403.5
FL2009,1130,1,1539.0,402.5
FL1000,1130,2,1541.5,405.5
FL1659,1132,1,1545.0,407.0
FL1832,1134,2,1546.0,407.5
FL1674,1137,1,1550.5,408.0
FL1335,1137,2,1549.0,409.0
FL1566,1138,2,1555.0,411.0
FL2011,1138,1,1555.5,412.5
FL2049,1138,2,1557.5,417.0
FL1319,1139,1,1562.0,416.5
FL1039,1139,2,1562.0,418.5
FL1315,1146,1,1565.5,416.0
FL2074,1150,2,1568.0,412.0
FL1026,1150,1,1569.0,415.5
FL1308,1152,2,1574.0,416.0
FL1031,1154,1,1575.0,415.0
FL1024,1156,2,1579.0,418.0
FL1988,1157,1,1579.0,418.0
FL1741,1157,1,1584.5,422.0
FL1313,1157,2,1585.0,422.0
FL1071,1159,1,1588.0,425.5
FL2086,1161,2,1588.5,424.0
FL1132,1161,1,1592.5,427.0
FL2121,1164,2,1593.0,424.5
FL1628,1167,1,1597.0,425.5
FL1747,1169,2,1599.0,424.0
FL1838,1171,1,1601.0,426.0
FL1872,1171,2,1602.0,428.0
FL1436,1172,1,1606.0,429.0
FL2041,1172,2,1607.0,430.0
FL1187,1174,1,1612.5,432.0
FL1075,1175,2,1611.5,432.0
FL1168,1177,2,1614.5,434.5
FL1876,1177,1,1616.5,435.5
FL1503,1179,2,1619.0,435.5
FL2066,1180,1,1621.5,436.5
FL1337,1181,2,1623.0,438.0
FL1135,1185,1,1626.5,436.5
FL1454,1186,2,1626.0,437.0
FL2025,1188,2,1630.0,438.0
FL2167,1194,1,1631.0,432.5
FL1378,1195,2,1636.0,435.0
FL2184,1196,1,1636.5,435.0
FL1462,1198,2,1641.0,438.0
FL1964,1200,1,1641.5,436.5
FL2132,1201,2,1643.5,440.0
FL1722,1201,1,1645.0,440.5
FL1055,1204,2,1647.0,439.5
FL1325,1205,1,1649.0,440.0
FL1824,1205,2,1653.5,442.0
FL1831,1206,1,1652.5,443.0
FL1595,1206,1,1657.0,446.5
FL1828,1209,2,1659.5,444.5
FL1327,1209,1,1663.5,448.0
FL2161,1211,2,1663.0,448.5
FL1655,1213,2,1667.5,450.0
FL1481,1214,1,1667.5,449.5
FL2010,1214,1,1672.0,453.5
FL1629,1215,2,1670.5,452.5
FL2165,1215,2,1676.0,455.5
FL1636,1218,1,1677.5,454.0
FL2147,1218,2,1679.0,458.0
FL1616,1220,1,1680.5,457.5
FL1879,1221,2,1685.5,458.0
FL1784,1225,1,1685.5,455.5
FL1367,1226,1,1689.5,459.5
FL2110,1227,2,1691.0,458.5
FL1393,1227,1,1693.5,462.5
FL1229,1230,2,1693.5,461.0
FL1275,1230,1,1700.0,463.5
FL1778,1232,2,1697.0,461.5
FL1150,1233,2,1703.0,464.0
FL2137,1234,1,1703.0,466.0
FL2160,1235,1,1708.5,468.0
FL1583,1236,2,1709.5,467.0
FL2142,1236,1,1714.5,472.5
FL1524,1238,2,1714.5,471.5
FL2106,1240,1,1717.5,474.5
FL2082,1240,2,1720.0,474.5
FL1570,1240,1,1724.0,477.5
FL1407,1241,2,1726.5,479.0
FL1691,1243,1,1728.5,481.0
FL2154,1245,2,1729.0,481.5
FL1582,1245,1,1731.5,483.5
FL1257,1249,2,1733.5,480.0
FL2018,1249,1,1734.5,482.5
FL2115,1253,2,1738.0,480.5
FL1103,1254,1,1741.0,480.5
FL1089,1254,2,1741.0,484.0
FL1754,1255,1,1747.5,486.0
FL1395,1259,2,1746.0,482.0
FL1303,1260,2,1750.5,486.0
FL1143,1262,1,1751.0,485.5
FL1587,1264,2,1755.5,486.5
FL2008,1264,1,1755.0,487.0
FL1193,1268,1,1757.5,487.0
FL1215,1269,2,1761.0,486.5
FL2075,1272,1,1760.0,485.5
FL1623,1272,1,1765.0,488.0
FL1458,1273,2,1767.0,488.0
FL1504,1275,1,1771.5,490.0
FL1268,1275,2,1773.5,492.0
FL1365,1281,1,1774.0,490.5
